,pixels,noise,modelBrier,aggBrier,modelBetter,modelCalibration,aggCalibration,modelRefinement,aggRefinement,meanSuccessTest,navigationMean,navigationStd,visualAcuityMean,visualAcuityStd,meanSuccessAll
0,4,0.0,0.019590,0.024375,True,0.014761,0.000000e+00,0.004167,0.024375,0.025,0.252096,0.245945,0.000581,0.000916,0.010
1,4,0.2,0.025547,0.033775,True,0.020416,4.814825e-35,0.004783,0.033775,0.035,0.307954,0.305360,0.000727,0.001096,0.021
2,4,0.4,0.042859,0.056400,True,0.013682,4.333342e-34,0.030417,0.056400,0.060,0.618351,0.562277,0.001965,0.002807,0.047
3,4,0.6,0.062291,0.073600,True,0.001960,1.925930e-34,0.062776,0.073600,0.080,4.204059,1.605957,0.013177,0.017633,0.087
4,4,0.8,0.095089,0.101775,True,0.001110,0.000000e+00,0.095708,0.101775,0.115,1.976626,1.524709,0.111055,0.070564,0.097
5,8,0.0,0.035375,0.047500,True,0.019030,0.000000e+00,0.016800,0.047500,0.050,0.480651,0.446816,0.001702,0.002478,0.040
6,8,0.2,0.035352,0.047500,True,0.019000,0.000000e+00,0.016800,0.047500,0.050,0.517530,0.484172,0.001747,0.002607,0.042
7,8,0.4,0.052677,0.069375,True,0.016853,1.925930e-34,0.037927,0.069375,0.075,1.655791,1.097475,0.005998,0.008278,0.070
8,8,0.6,0.061201,0.073600,True,0.004239,1.925930e-34,0.060085,0.073600,0.080,4.269241,1.604383,0.015421,0.019426,0.089
9,8,0.8,0.096765,0.097900,True,0.002526,1.733337e-33,0.094508,0.097900,0.110,2.178728,1.796129,0.399583,0.186752,0.120
10,12,0.0,0.051599,0.069375,True,0.022302,1.925930e-34,0.030044,0.069375,0.075,1.816937,1.182466,0.011751,0.014345,0.074
11,12,0.2,0.050184,0.069375,True,0.028628,1.925930e-34,0.022478,0.069375,0.075,1.927575,1.226008,0.012406,0.015319,0.075
12,12,0.4,0.061132,0.081900,True,0.017636,0.000000e+00,0.045497,0.081900,0.090,4.024530,1.556870,0.017021,0.020972,0.093
13,12,0.6,0.056321,0.069375,True,0.008493,1.925930e-34,0.050348,0.069375,0.075,3.635984,1.602120,0.012124,0.016676,0.083
14,12,0.8,0.079414,0.085975,True,0.001090,0.000000e+00,0.078814,0.085975,0.095,2.721702,1.917021,0.152178,0.099075,0.102
15,16,0.0,0.075934,0.109375,True,0.033767,0.000000e+00,0.042319,0.109375,0.125,7.700437,1.676722,0.112481,0.090377,0.138
16,16,0.2,0.075585,0.109375,True,0.033868,0.000000e+00,0.042307,0.109375,0.125,7.807127,1.681011,0.097355,0.084777,0.138
17,16,0.4,0.085008,0.123975,True,0.034715,0.000000e+00,0.052166,0.123975,0.145,8.835823,1.668985,0.125648,0.100546,0.151
18,16,0.6,0.054839,0.065100,True,0.001887,1.925930e-34,0.055910,0.065100,0.070,4.670699,1.701559,0.019332,0.025259,0.089
19,16,0.8,0.073238,0.081900,True,0.001564,0.000000e+00,0.073571,0.081900,0.090,2.315062,1.699809,0.124083,0.081266,0.096
20,20,0.0,0.100328,0.144375,True,0.027171,0.000000e+00,0.076120,0.144375,0.175,10.261224,1.624239,0.314984,0.184414,0.181
21,20,0.2,0.102014,0.147600,True,0.031469,0.000000e+00,0.073336,0.147600,0.180,10.621175,1.595339,0.321635,0.189366,0.186
22,20,0.4,0.100515,0.150775,True,0.038751,0.000000e+00,0.063653,0.150775,0.185,11.713257,1.535279,0.319445,0.191018,0.195
23,20,0.6,0.072201,0.085975,True,0.004289,0.000000e+00,0.069241,0.085975,0.095,5.831139,1.725768,0.028226,0.034823,0.104
24,20,0.8,0.105278,0.109375,True,0.002326,0.000000e+00,0.104654,0.109375,0.125,2.151116,1.660375,0.205715,0.110061,0.110
25,24,0.0,0.111678,0.160000,True,0.029354,0.000000e+00,0.083052,0.160000,0.200,11.920306,1.602523,0.566150,0.260220,0.211
26,24,0.2,0.116821,0.168775,True,0.032865,0.000000e+00,0.086056,0.168775,0.215,13.088005,1.493056,0.617649,0.271146,0.227
27,24,0.4,0.120095,0.174375,True,0.032228,3.081488e-33,0.089391,0.174375,0.225,13.180327,1.509815,0.620818,0.276942,0.230
28,24,0.6,0.075233,0.090000,True,0.004778,0.000000e+00,0.073970,0.090000,0.100,3.323253,1.559021,0.009775,0.013777,0.085
29,24,0.8,0.081893,0.085975,True,0.001546,0.000000e+00,0.080312,0.085975,0.095,1.770152,1.454411,0.131200,0.082289,0.094
30,28,0.0,0.137268,0.203775,True,0.039100,3.081488e-33,0.102199,0.203775,0.285,16.440864,1.426104,1.248972,0.385377,0.292
31,28,0.2,0.137593,0.203775,True,0.035909,3.081488e-33,0.103876,0.203775,0.285,16.794963,1.452036,1.351255,0.395227,0.298
32,28,0.4,0.134966,0.194775,True,0.025769,3.081488e-33,0.113109,0.194775,0.265,16.229824,1.443608,1.151468,0.364364,0.282
33,28,0.6,0.062203,0.073600,True,0.002082,1.925930e-34,0.061360,0.073600,0.080,5.706830,1.625538,0.016790,0.022118,0.098
34,28,0.8,0.085197,0.090000,True,0.001567,0.000000e+00,0.084477,0.090000,0.100,1.491166,1.295511,0.112530,0.069197,0.090
35,32,0.0,0.157209,0.222775,True,0.032638,0.000000e+00,0.125795,0.222775,0.335,19.939040,1.411899,1.754560,0.429824,0.350
36,32,0.2,0.154648,0.221100,True,0.029902,0.000000e+00,0.127106,0.221100,0.330,20.106128,1.406203,1.800136,0.431276,0.353
37,32,0.4,0.157913,0.228975,True,0.038791,0.000000e+00,0.121308,0.228975,0.355,20.121505,1.386734,1.746150,0.426904,0.355
38,32,0.6,0.072944,0.085975,True,0.004838,0.000000e+00,0.069809,0.085975,0.095,3.059321,1.473882,0.010809,0.013985,0.084
39,32,0.8,0.082106,0.085975,True,0.000892,0.000000e+00,0.083830,0.085975,0.095,1.499644,1.304674,0.104306,0.065662,0.088
