,link_type,gen_mean_k,logistic_p,prior_type,sigma_factor,modelBrier,aggBrier,modelBetter,navMean,navStd,visualMean,visualStd
0,compensatory,0,0.950,HalfNormal,1,0.111274,0.144375,True,1.335024,1.264138,0.290527,1.707493e-01
1,compensatory,0,0.950,HalfNormal,2,0.111326,0.144375,True,1.415236,1.294348,0.270207,1.526148e-01
2,compensatory,0,0.950,HalfNormal,4,0.111551,0.144375,True,1.505700,1.315443,0.230598,1.105884e-01
3,compensatory,0,0.950,Uniform,2,0.132845,0.144375,True,30.359114,4.858756,0.000113,5.237774e-06
4,compensatory,0,0.990,HalfNormal,1,0.097202,0.144375,True,4.456546,1.816209,1.875546,6.549546e-01
5,compensatory,0,0.990,HalfNormal,2,0.097875,0.144375,True,5.736436,1.754598,1.202953,3.558286e-01
6,compensatory,0,0.990,HalfNormal,4,0.099212,0.144375,True,7.171383,1.733994,0.744556,1.884767e-01
7,compensatory,0,0.990,Uniform,2,0.152697,0.144375,False,42.366131,4.659585,0.000117,3.077802e-06
8,compensatory,0,0.999,HalfNormal,1,0.082857,0.144375,True,9.996157,1.288723,2.978181,6.621136e-01
9,compensatory,0,0.999,HalfNormal,2,0.084464,0.144375,True,11.288456,1.280076,1.968421,3.550129e-01
10,compensatory,0,0.999,HalfNormal,4,0.087574,0.144375,True,12.803987,1.275189,1.218868,1.918663e-01
11,compensatory,0,0.999,Uniform,2,0.168280,0.144375,False,43.120016,4.599997,0.000118,1.864556e-06
12,compensatory,1,0.950,HalfNormal,1,0.112743,0.144375,True,5.360735,2.255884,0.041697,3.977667e-02
13,compensatory,1,0.950,HalfNormal,2,0.112731,0.144375,True,5.238226,2.266820,0.042513,3.873374e-02
14,compensatory,1,0.950,HalfNormal,4,0.112748,0.144375,True,5.103180,2.149390,0.044321,3.969341e-02
15,compensatory,1,0.950,Uniform,2,0.116129,0.144375,True,10.064077,1.553453,0.000110,5.769977e-06
