Suite,Paradigm,InstanceName,AbilityTested,GoalVisibleAtChoicePoint,RequiresOP?,LavaPresence,PlatformPresence,RampPresence,TimeUnderOcclusion,OccluderColour,RightLeftPosition,RowPosition,ColumnPosition,NumOtherPositionsAvailable,GoalSize,TransparentWallPresence,LightsOutPresence,GoodGoalBounce?,ForcedChoice?,DistanceToGoalManhattan,OccluderPresence,OccluderRedness,OccluderGreenness,OccluderBlueness,Agent1,Agent2,Agent3,Agent4,Agent5,Agent6,Agent7,Agent8,Agent9,Agent10,Agent11,Agent12,Agent13,Agent14,Agent15,Agent16,Agent17,Agent18,Agent19,Agent20,Agent21,Agent22,Agent23,Agent24,Agent25,Agent26,Agent27,Agent28,Agent29,Agent30
AllocentricOP,CVChick,OP-STC-Allo-CVChick-1Occluder-Left-Beige-0-OPQ.yml,CVChickLikeTasks,0,1,1,1,0,3,Beige,-1,,,1,2.0,1,1,1,1,46,1,236.0,195.0,153.0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1
AllocentricOP,CVChick,OP-STC-Allo-CVChick-1Occluder-Left-Brown-0-OPQ.yml,CVChickLikeTasks,0,1,1,1,0,3,Brown,-1,,,1,2.0,1,1,1,1,46,1,102.0,51.0,1.0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1
AllocentricOP,CVChick,OP-STC-Allo-CVChick-1Occluder-Left-DarkBlue-0-OPQ.yml,CVChickLikeTasks,0,1,1,1,0,3,DarkBlue,-1,,,1,2.0,1,1,1,1,46,1,1.0,1.0,153.0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1
AllocentricOP,CVChick,OP-STC-Allo-CVChick-1Occluder-Left-DarkGreen-0-OPQ.yml,CVChickLikeTasks,0,1,1,1,0,3,DarkGreen,-1,,,1,2.0,1,1,1,1,46,1,1.0,100.0,1.0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1
AllocentricOP,CVChick,OP-STC-Allo-CVChick-1Occluder-Left-Grey-0-OPQ.yml,CVChickLikeTasks,0,1,1,1,0,3,Grey,-1,,,1,2.0,1,1,1,1,46,1,153.0,153.0,153.0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1
AllocentricOP,CVChick,OP-STC-Allo-CVChick-1Occluder-Left-OffWhite-0-OPQ.yml,CVChickLikeTasks,0,1,1,1,0,3,OffWhite,-1,,,1,2.0,1,1,1,1,46,1,248.0,253.0,212.0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1
AllocentricOP,CVChick,OP-STC-Allo-CVChick-1Occluder-Right-Beige-0-OPQ.yml,CVChickLikeTasks,0,1,1,1,0,3,Beige,1,,,1,2.0,1,1,1,1,46,1,236.0,195.0,153.0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0
AllocentricOP,CVChick,OP-STC-Allo-CVChick-1Occluder-Right-Brown-0-OPQ.yml,CVChickLikeTasks,0,1,1,1,0,3,Brown,1,,,1,2.0,1,1,1,1,46,1,102.0,51.0,1.0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0
AllocentricOP,CVChick,OP-STC-Allo-CVChick-1Occluder-Right-DarkBlue-0-OPQ.yml,CVChickLikeTasks,0,1,1,1,0,3,DarkBlue,1,,,1,2.0,1,1,1,1,46,1,1.0,1.0,153.0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1
AllocentricOP,CVChick,OP-STC-Allo-CVChick-1Occluder-Right-DarkGreen-0-OPQ.yml,CVChickLikeTasks,0,1,1,1,0,3,DarkGreen,1,,,1,2.0,1,1,1,1,46,1,1.0,100.0,1.0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0
