Name Short,Agent Name,Model Brier Score Success,Model Brier Score Choice,Aggregate Brier Score Success,Aggregate Brier Score Choice,Model Calibration Success,Model Calibration Choice,Aggregate Calibration Success,Aggregate Calibration Choice,Model Refinement Success,Model Refinement Choice,Aggregate Refinement Success,Aggregate Refinement Choice,Model Better? (Based on Brier Score - Success),Model Better? (Based on Brier Score - Choice),Average Success,Average Correct Choice,Object Permanence Ability Mean (All),Object Permanence Ability SD (All),Object Permanence Ability Min (All),Object Permanence Ability Max (All),Navigation Ability Mean (All),Navigation Ability SD (All),Navigation Ability Min (All),Navigation Ability Max (All),Lava Ability Mean (All),Lava Ability SD (All),Lava Ability Min (All),Lava Ability Max (All),Right Ability Mean (All),Right Ability SD (All),Right Ability Min (All),Right Ability Max (All),Left Ability Mean (All),Left Ability SD (All),Left Ability Min (All),Left Ability Max (All),Ahead Ability Mean (All),Ahead Ability SD (All),Ahead Ability Min (All),Visual Acuity Ability Mean (All),Visual Acuity Ability SD (All),Visual Acuity Ability Min (All),Visual Acuity Ability Max (All)
Dreamer 1,dreamer-bc-all,0.09630309665513478,0.15753309114409675,0.11804360643082377,0.19316226506862352,0.009909820685766818,0.014691551032409862,0.0,0.0,0.0861871646429042,0.1436157843961864,0.11804360643082454,0.19316226506862194,True,True,0.1330318895763922,0.2546406473108044,98.18844348474077,16.23929900864741,0,564.0,630.0952517748249,196.6342122443309,0.0,838.5,0.003971315508786877,0.0038865183558288298,0,1,1.6886461911180717,0.46277218473944676,0,1,0.5604772456900979,0.28647305740771434,0,1,1.3796516453767838,0.5142614616894217,0,10.462779597807582,0.7134585209350405,2.25,73.53910524
Dreamer 2,dreamer-bc_opc-all,0.14232000118448346,0.13110028442512753,0.16127960457017562,0.19372781115285304,0.008516441338377744,0.0474820230892828,3.0814879110195774e-33,3.0814879110195774e-33,0.13650699064008923,0.0871499953618625,0.1612796045701779,0.19372781115285156,True,True,0.20157068062827224,0.24964302712993813,86.1778142818887,12.493257247398594,0,564.0,960.1941505075221,243.20707911754064,0.0,838.5,0.3646896807031203,0.06289487604591677,0,1,1.8882685808298014,0.4333357939927183,0,1,0.0022440770462280163,0.0022310054306755186,0,1,0.005273774804070416,0.005306314922441875,0,13.959257594520846,0.8824429978856517,2.25,73.53910524
Dreamer 3,dreamer-bc_opc-strat,0.07923325533845221,0.1099370202004182,0.08607611401974623,0.1363644718294437,0.004786422731248683,0.018255996753358372,0.0,0.0,0.07627132168997491,0.09171501948058686,0.08607611401974605,0.1363644718294426,True,True,0.10590195145168967,0.16539742979533556,11.326182697393275,9.10518265431268,0,564.0,681.443185930456,228.654489492364,0.0,838.5,0.09954675134070967,0.03653201462307291,0,1,0.004273213420004135,0.004232715962418608,0,1,1.7847110028461903,0.44414834365096006,0,1,0.007888124425291698,0.00783188102067402,0,11.632994537069736,0.8525518328141212,2.25,73.53910524
Dreamer 4,dreamer-bc_opc_opt-all,0.0183549889491119,0.13238142282420423,0.007083464704975748,0.16127960457017554,0.011274592442451667,0.052947838885098644,6.770847460736376e-36,3.0814879110195774e-33,0.006759222340099824,0.08426538347205707,0.007083464704975816,0.1612796045701779,False,True,0.011661113755354594,0.19990480723465018,63.86498528120645,22.326705358793273,0,564.0,118.67505711784636,35.176890207897344,0.0,838.5,0.0021536427310353515,0.0021783809949765948,0,1,1.8843236729736919,0.438774978700041,0,1,0.0034016189318740206,0.0033574102198489554,0,1,0.01080374046317069,0.01055706675734954,0,12.949961975086367,1.4012222544995852,2.25,73.53910524
Dreamer 5,dreamer-bc_opc_opt-strat,0.12083206498402062,0.15121115351773148,0.11976569425730269,0.1774655335008291,0.006504003076654587,0.01352700232939549,7.703719777548943e-34,6.933347799794049e-33,0.11542678567679597,0.1393414238239238,0.11976569425730368,0.17746553350082925,False,True,0.15254640647310805,0.23821989528795812,28.05797290452389,16.63045113875117,0,564.0,697.0470677951637,240.07529369676544,0.0,838.5,0.31728589491739223,0.06051196490663905,0,1,0.03332146528368964,0.023048420085876393,0,1,1.8154638983944777,0.44520586641479865,0,1,0.006639829620914875,0.006756435983595208,0,16.951936434013213,1.8050567233420505,2.25,73.53910524
PPO 1,ppo-bc-all,0.06943021171179041,0.12968509638760867,0.08024816162176099,0.16890033805517124,0.015150012516599065,0.04270382019995087,0.0,6.933347799794049e-33,0.05461137609922491,0.08780105977044794,0.08024816162175995,0.16890033805517185,True,True,0.09090909090909091,0.22346501665873394,56.23835102993762,16.01628780224058,0,564.0,332.43785554557724,58.58178294704251,0.0,838.5,0.001902690310074624,0.0019091985740822268,0,1,0.004354359510436819,0.004409604634438089,0,1,1.8262854753158058,0.4428552203798475,0,1,0.9424481559640937,0.5385940432541833,0,14.411076476334191,1.361786409761412,2.25,73.53910524
PPO 2,ppo-bc_opc-strat,0.03954784803179589,0.04999588917123069,0.04205966228415607,0.05170505075069184,0.0025352460890619927,0.003449667289353683,0.0,4.81482486096809e-35,0.036674545717146886,0.045710294600774234,0.0420596622841558,0.05170505075069173,True,True,0.03712517848643503,0.04712041884816754,3.7594119481814214,4.001828920479289,0,564.0,4.5282577097591545,4.517566434498949,0.0,838.5,0.004538736580400236,0.0046672372396020555,0,1,0.016801618640040834,0.016177480322775155,0,1,0.008609102981388748,0.008741673495794848,0,1,1.4982772842232386,0.4780231358445263,0,10.138828080764387,0.8448021177331345,2.25,73.53910524
PPO 3,ppo-bc_opc-all,0.07960940902000194,0.1301824492856069,0.09274673008323442,0.15625189988137433,0.008421146427154668,0.009607575568836702,0.0,0.0,0.07261493199588837,0.12316328645472037,0.09274673008323424,0.15625189988137672,True,True,0.09424083769633508,0.1775345073774393,71.54877428478517,18.500613845822357,0,564.0,582.2222721588691,192.79873906061815,0.0,838.5,0.005112013931009344,0.0050280709917782,0,1,1.7411643519382771,0.4442349073587103,0,1,0.011277960463550554,0.010651149003670611,0,1,0.0425083799287788,0.035975347494734265,0,9.021543071076872,0.7142117003749775,2.25,73.53910524
PPO 4,ppo-bc_opc_opt-strat,0.014139072778202415,0.1110165549696311,0.011749219899870121,0.11804360643082375,0.002640842477868099,0.004882178918443672,0.0,0.0,0.01092575424736492,0.10807716593546271,0.011749219899870067,0.11804360643082454,False,True,0.01142313184198001,0.1432651118514993,25.570939731767876,18.215588083562224,0,564.0,23.469075326510584,19.69920996975131,0.0,838.5,0.0037397590893378948,0.0038204752161077942,0,1,1.5063811754000866,0.48212267682577764,0,1,1.6521911734924375,0.45881193020561895,0,1,0.06546701036868255,0.06165534250711624,0,10.995348391117098,1.3002809564868762,2.25,73.53910524
PPO 5,ppo-bc_opc_opt-all,0.01329419238508457,0.11617899171302282,0.0082541450993312,0.12820646956443243,0.0053076777424978655,0.010971227620011202,3.009265538105056e-36,3.0814879110195774e-33,0.0074426531137196765,0.11070734160218224,0.008254145099331102,0.12820646956443055,False,True,0.009043312708234174,0.1401713469776297,33.5294883175233,21.77150597900827,0,564.0,41.635812544587594,28.310119794017627,0.0,838.5,0.0036215984602638775,0.003603002893481983,0,1,1.753856917639487,0.44932814707229035,0,1,0.13810234092278928,0.06485418326108713,0,1,0.016977192001341342,0.017204798961429364,0,10.721563686228883,1.3711230333618862,2.25,73.53910524
Random Action Agent,Random Action Agent no bias no correlation uniform step length max 20_2023,0.07636612723195209,0.18796724966853393,0.07729601106208223,0.2018716747657588,0.005143067943318655,0.00679040774065777,0.0,3.0814879110195774e-33,0.07123941467648293,0.1841430347346649,0.07729601106208141,0.20187167476575787,True,True,0.09352689195621133,0.2841504045692527,41.23180674480353,19.624815994791753,0,564.0,78.86028796207103,30.28373015708188,0.0,838.5,0.0024832959806437506,0.0024692985643329094,0,1,1.6484385961193115,0.4612568149629727,0,1,1.6494483681075074,0.459859066976421,0,1,0.9669692404585977,0.5178698336247269,0,60.964788071255725,10.438597169285083,2.25,73.53910524
Heuristic Agent,Vanilla Braitenberg 15 rays over 60 degs_2023,0.20351755690423515,0.2038687246748667,0.24465240830730875,0.24653567676779062,0.013874345323996744,0.008308433611080015,0.0,3.0814879110195774e-33,0.19111060915178119,0.19703274913983454,0.24465240830730642,0.246535676767791,True,True,0.4290813898143741,0.4426463588767254,57.727756045169805,6.09944404826732,0,564.0,1133.773813434709,241.92999634316914,0.0,838.5,0.954089349253573,0.43458704926400454,0,1,1.6486030115280188,0.4687552465832309,0,1,1.44000781147375,0.475360243343448,0,1,1.4982925458145853,0.47847229332820684,0,65.21061471535666,6.8744215368359844,2.25,73.53910524
Child,Child,0.16884828659492696,0.1539543012106167,0.18827398634311857,0.1718780139655109,0.005731685910385909,0.004435686466737509,0.0,0.0,0.16520177233994168,0.15072709064209555,0.18827398634311945,0.1718780139655106,True,True,0.736318407960199,0.7723880597014925,574.6641519716362,44.70915295647493,0,564.0,439.19854018806745,27.441110804073315,0.0,838.5,0.426109209168924,0.06711884396314846,0,1,0.5357526712552998,0.07087021280376207,0,1,0.43560055046018414,0.04975832123578911,0,1,1.6581372354091433,0.4765552635549537,0,32.97925119930285,2.96121805999188,6.666666666666667,19.196418935
Child (No Visual),Child (Ablated),0.17016892738422026,0.15265296190286065,0.18827398634311857,0.1718780139655109,0.014488143662266285,0.004613590491886329,0.0,0.0,0.15525917790233804,0.14700288071651305,0.18827398634311945,0.1718780139655106,True,True,0.736318407960199,0.7723880597014925,562.5898374392524,43.69003663182623,0,564.0,403.2673430636411,21.255009202941004,0.0,838.5,0.47920316334276797,0.08558420694661036,0,1,0.5795875908049524,0.10645499301467663,0,1,0.4527075789919822,0.05353816738937301,0,1,1.6444923341593227,0.46071539010456863,0,,,,
