Name Short,Agent Name,Logistic Brier Success,Logistic Brier Choice,SEM (Both Dependents) Brier Success,SEM (Both Dependents) Brier Choice
Dreamer 1,dreamer-bc-all,0.0718532680468907,0.129920517421976,0.101620438022201,0.165612038025983
Dreamer 2,dreamer-bc_opc-all,0.0550822112874131,0.0411717789173401,0.12159408001473,0.100143337405041
Dreamer 3,dreamer-bc_opc-strat,0.0683812858999251,0.0870376512106203,0.0890306466053409,0.110101342271059
Dreamer 4,dreamer-bc_opc_opt-all,0.0109788591175672,0.0156482948015452,0.012507539583557,0.0601757339882654
Dreamer 5,dreamer-bc_opc_opt-strat,0.0860123857920419,0.122999334035283,0.114625183351653,0.151752148126434
PPO 1,ppo-bc-all_2023,0.0453284909655139,0.0803862036153203,0.0701974359165923,0.130838775725001
PPO 2,ppo-bc_opc-strat_2023,0.0235896466798145,0.0288391894994022,0.0309441135280846,0.0348587146473764
PPO 3,ppo-bc_opc-all_2023,0.0633409695785652,0.095317076110805,0.0891325184539817,0.126899342912349
PPO 4,ppo-bc_opc_opt-strat_2023,0.00748204105084146,0.102656823652037,0.00903479817286028,0.10671203899899
PPO 5,ppo-bc_opc_opt-all_2023,0.00840902206321082,0.0835936949690563,0.0103537499070439,0.0947403310889919
Random Action Agent,Random Action Agent no bias no correlation uniform step length max 20_2023,0.0793466478352293,0.178270365347452,0.0843706622620843,0.183680498894201
Heuristic Agent,Vanilla Braitenberg 15 rays over 60 degs_2023,0.152336875123347,0.154965872181716,0.206468390133253,0.203143673741716
Child,Child,0.171714398181618,0.160402916258681,0.188926624538527,0.176001937030267
